+-----+-------+------+-------+
| qid | docno | rank | score |
|  3  |  25   |  10  |  0.0  |
|  3  |  53   |  11  |  0.0  |
|  3  |  20   |  12  |  0.0  |
|  3  |  70   |  13  |  0.0  |
|  3  |  31   |  14  |  0.0  |
|  3  |  80   |  15  |  0.0  |
|  3  |  59   |  16  |  0.0  |
|  3  |  40   |  17  |  0.0  |
|  3  |   2   |  18  |  0.0  |
|  3  |  18   |  19  |  0.0  |
|  3  |  67   |  20  |  0.0  |
|  3  |   8   |  21  |  0.0  |
|  3  |  55   |  22  |  0.0  |
|  3  |  45   |  23  |  0.0  |
|  3  |  54   |  24  |  0.0  |
|  3  |  62   |  25  |  0.0  |
|  3  |   3   |  26  |  0.0  |
|  3  |  14   |  27  |  0.0  |
|  3  |  78   |  28  |  0.0  |
|  3  |  61   |  29  |  0.0  |
|  3  |  15   |  30  |  0.0  |
|  4  |  36   |  1   | 0.258 |
|  4  |  33   |  2   | 0.252 |
|  4  |  90   |  3   | 0.192 |
|  4  |  95   |  4   | 0.101 |
|  4  |  39   |  5   |  0.0  |
|  4  |   6   |  6   |  0.0  |
|  4  |  83   |  7   |  0.0  |
|  4  |  71   |  8   |  0.0  |
|  4  |  76   |  9   |  0.0  |
|  4  |  26   |  10  |  0.0  |
|  4  |  21   |  11  |  0.0  |
|  4  |  34   |  12  |  0.0  |
|  4  |  18   |  13  |  0.0  |
|  4  |  66   |  14  |  0.0  |
|  4  |  70   |  15  |  0.0  |
|  4  |  64   |  16  |  0.0  |
|  4  |  35   |  17  |  0.0  |
|  4  |  69   |  18  |  0.0  |
|  4  |  48   |  19  |  0.0  |
|  4  |  29   |  20  |  0.0  |
|  4  |  73   |  21  |  0.0  |
|  4  |   3   |  22  |  0.0  |
|  4  |   2   |  23  |  0.0  |
|  4  |   9   |  24  |  0.0  |
|  4  |  12   |  25  |  0.0  |
|  4  |  61   |  26  |  0.0  |
|  4  |  53   |  27  |  0.0  |
|  4  |   5   |  28  |  0.0  |
|  5  |  36   |  1   | 0.258 |
|  5  |  91   |  2   | 0.214 |
|  5  |  87   |  3   | 0.205 |
|  5  |  93   |  4   | 0.175 |
|  5  |  97   |  5   | 0.108 |
|  5  |  51   |  6   | 0.108 |
|  5  |  47   |  7   |  0.0  |
|  5  |  44   |  8   |  0.0  |
|  5  |  39   |  9   |  0.0  |
|  5  |  85   |  10  |  0.0  |
|  5  |  14   |  11  |  0.0  |
|  5  |  24   |  12  |  0.0  |
|  5  |  71   |  13  |  0.0  |
|  5  |  37   |  14  |  0.0  |
|  5  |  63   |  15  |  0.0  |
|  5  |  26   |  16  |  0.0  |
|  5  |   5   |  17  |  0.0  |
|  5  |  50   |  18  |  0.0  |
|  5  |  19   |  19  |  0.0  |
|  5  |  82   |  20  |  0.0  |
|  5  |  46   |  21  |  0.0  |
|  5  |  10   |  22  |  0.0  |
|  5  |  80   |  23  |  0.0  |
|  5  |  45   |  24  |  0.0  |
|  5  |  79   |  25  |  0.0  |
|  5  |  48   |  26  |  0.0  |
|  5  |  17   |  27  |  0.0  |
|  5  |  43   |  28  |  0.0  |
+-----+-------+------+-------+
